scenario,condition,reward,response_index,rank,feature_label,activation,source_log
Baseline (Offer: 10),baseline,,6,7,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,8,Rejection and prevention of rejection in medical and emotional contexts,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,9,The assistant is explaining why it cannot fulfill an unethical request,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,1,Economic tradeoffs and payoff structures in social contexts,133.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,2,Game theory concepts involving cooperation versus competition,58.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,3,Formal offer and counteroffer language in negotiations,55.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,4,Descriptions of experimental procedures and participant tasks in research studies,40.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,5,Negotiation strategies and tactics being discussed,35.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,6,The assistant should select between provided options,29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,7,Ensuring fairness and equal treatment,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,8,Rejection and prevention of rejection in medical and emotional contexts,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,9,Probability-based decision making scenarios with explicit numerical comparisons,19.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,7,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,1,Economic tradeoffs and payoff structures in social contexts,147.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,2,Game theory concepts involving cooperation versus competition,62.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,3,Formal offer and counteroffer language in negotiations,57.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,4,Descriptions of experimental procedures and participant tasks in research studies,40.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,5,Negotiation strategies and tactics being discussed,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,6,Ensuring fairness and equal treatment,36.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,7,The assistant should select between provided options,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,8,Rejection and prevention of rejection in medical and emotional contexts,27.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,9,Probability-based decision making scenarios with explicit numerical comparisons,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,8,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,1,Economic tradeoffs and payoff structures in social contexts,133.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,2,Game theory concepts involving cooperation versus competition,58.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,3,Formal offer and counteroffer language in negotiations,55.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,4,Descriptions of experimental procedures and participant tasks in research studies,40.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,5,Negotiation strategies and tactics being discussed,35.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,6,The assistant should select between provided options,29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,7,Ensuring fairness and equal treatment,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,8,Rejection and prevention of rejection in medical and emotional contexts,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,9,Probability-based decision making scenarios with explicit numerical comparisons,19.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,9,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,1,Economic tradeoffs and payoff structures in social contexts,124.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,3,Formal offer and counteroffer language in negotiations,51.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,5,Negotiation strategies and tactics being discussed,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,6,The assistant should select between provided options,29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,7,Rejection and prevention of rejection in medical and emotional contexts,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,8,Ensuring fairness and equal treatment,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,9,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,10,10,Probability-based decision making scenarios with explicit numerical comparisons,17.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,1,Economic tradeoffs and payoff structures in social contexts,137.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,3,Formal offer and counteroffer language in negotiations,49.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,5,Ensuring fairness and equal treatment,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,6,Negotiation strategies and tactics being discussed,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,7,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,8,Rejection and prevention of rejection in medical and emotional contexts,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,9,The assistant is explaining why it cannot fulfill an unethical request,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,11,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,1,Economic tradeoffs and payoff structures in social contexts,127.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,3,Formal offer and counteroffer language in negotiations,48.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,4,Descriptions of experimental procedures and participant tasks in research studies,40.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,5,Negotiation strategies and tactics being discussed,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,6,The assistant should select between provided options,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,7,Rejection and prevention of rejection in medical and emotional contexts,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,8,Ensuring fairness and equal treatment,19.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,9,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,12,10,Probability-based decision making scenarios with explicit numerical comparisons,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,1,Economic tradeoffs and payoff structures in social contexts,134.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,2,Game theory concepts involving cooperation versus competition,62.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,3,Formal offer and counteroffer language in negotiations,46.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,5,Negotiation strategies and tactics being discussed,36.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,6,Ensuring fairness and equal treatment,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,7,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,8,Rejection and prevention of rejection in medical and emotional contexts,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,9,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,13,10,The assistant is explaining why it cannot fulfill an unethical request,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,1,Economic tradeoffs and payoff structures in social contexts,130.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,2,Game theory concepts involving cooperation versus competition,57.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,3,Formal offer and counteroffer language in negotiations,46.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,5,Negotiation strategies and tactics being discussed,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,6,Ensuring fairness and equal treatment,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,7,The assistant should select between provided options,27.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,8,Rejection and prevention of rejection in medical and emotional contexts,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,9,The assistant is explaining why it cannot fulfill an unethical request,19.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,14,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,1,Economic tradeoffs and payoff structures in social contexts,140.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,2,Game theory concepts involving cooperation versus competition,65.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,3,Formal offer and counteroffer language in negotiations,45.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,5,Negotiation strategies and tactics being discussed,35.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,6,Ensuring fairness and equal treatment,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,7,The assistant is explaining why it cannot fulfill an unethical request,30.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,8,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,9,Rejection and prevention of rejection in medical and emotional contexts,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,15,10,"The assistant should maintain a careful, diplomatic tone while discussing sensitive topics",22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,1,Economic tradeoffs and payoff structures in social contexts,138.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,2,Game theory concepts involving cooperation versus competition,60.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,3,Formal offer and counteroffer language in negotiations,45.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,5,Negotiation strategies and tactics being discussed,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,6,The assistant is explaining why it cannot fulfill an unethical request,30.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,7,Ensuring fairness and equal treatment,29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,8,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,9,Rejection and prevention of rejection in medical and emotional contexts,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,16,10,"The assistant should maintain a careful, diplomatic tone while discussing sensitive topics",21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,1,Economic tradeoffs and payoff structures in social contexts,132.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,3,Formal offer and counteroffer language in negotiations,45.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,5,Negotiation strategies and tactics being discussed,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,6,Ensuring fairness and equal treatment,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,7,The assistant should select between provided options,29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,8,The assistant is explaining why it cannot fulfill an unethical request,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,9,Rejection and prevention of rejection in medical and emotional contexts,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,17,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,1,Economic tradeoffs and payoff structures in social contexts,142.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,2,Game theory concepts involving cooperation versus competition,62.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,3,Formal offer and counteroffer language in negotiations,51.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,4,Descriptions of experimental procedures and participant tasks in research studies,40.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,5,Ensuring fairness and equal treatment,37.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,6,Negotiation strategies and tactics being discussed,35.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,7,The assistant is explaining why it cannot fulfill an unethical request,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,8,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,9,"The assistant should maintain a careful, diplomatic tone while discussing sensitive topics",22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,18,10,Rejection and prevention of rejection in medical and emotional contexts,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,19,1,Economic tradeoffs and payoff structures in social contexts,137.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,19,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,19,3,Formal offer and counteroffer language in negotiations,49.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,19,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,19,5,Ensuring fairness and equal treatment,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,19,6,Negotiation strategies and tactics being discussed,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
