task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
detailed_ways_to_use_a_brick,high_steering,16583,56.0,4.0,2,2,"learning and improvement, fabrics"
detailed_ways_to_use_a_brick,high_steering,57701,55.5,4.5,2,2,"skills, experience, parenting"
detailed_ways_to_use_a_brick,high_steering,34519,55.5,0.5,2,2,"to use, enjoy, charge"
detailed_ways_to_use_a_brick,high_steering,15715,53.0,6.0,2,2,but followed by descriptions of state or action
detailed_ways_to_use_a_brick,high_steering,5824,53.0,8.0,2,2,fix arm insert in/on/together
detailed_ways_to_use_a_brick,high_steering,30682,53.0,0.0,2,2,uncontested divorce lawyer
detailed_ways_to_use_a_brick,high_steering,28401,52.0,12.0,2,2,object resting on table
detailed_ways_to_use_a_brick,high_steering,35484,51.5,6.5,2,2,bobinas transformador gerador
detailed_ways_to_use_a_brick,high_steering,53105,51.0,1.0,2,2,landscaping and gardening
detailed_ways_to_use_a_brick,high_steering,54084,50.5,0.5,2,2,helpful and respectful responses
detailed_ways_to_use_a_brick,high_steering,38433,49.0,2.0,2,2,state or position
detailed_ways_to_use_a_brick,high_steering,37453,48.5,6.5,2,2,manufacture and construction
detailed_ways_to_use_a_brick,high_steering,4115,47.5,2.5,2,2,GTX cards or dissolved honey
detailed_ways_to_use_a_brick,high_steering,23957,47.5,6.5,2,2,dragging on
detailed_ways_to_use_a_brick,high_steering,51884,47.5,1.5,2,2,from virtual to detect providing support
detailed_ways_to_use_a_brick,high_steering,17735,47.5,10.5,2,2,holding and restraining
detailed_ways_to_use_a_brick,high_steering,24366,47.0,6.0,2,2,acidic soil and containers
detailed_ways_to_use_a_brick,high_steering,2461,47.0,5.0,2,2,specific continuations after certain words
detailed_ways_to_use_a_brick,high_steering,55224,46.5,0.5,2,2,"cut, fold, staple, Crack, Hold, place"
detailed_ways_to_use_a_brick,high_steering,1752,46.5,5.5,2,2,decision and action
detailed_ways_to_use_a_brick,high_steering,25495,46.5,6.5,2,2,crucial component
detailed_ways_to_use_a_brick,high_steering,2063,46.0,1.0,2,2,verbs following common pronouns/prepositions
detailed_ways_to_use_a_brick,high_steering,56241,46.0,1.0,2,2,spacing and distance
detailed_ways_to_use_a_brick,high_steering,23157,46.0,7.0,2,2,articles followed by nouns
detailed_ways_to_use_a_brick,high_steering,16842,46.0,3.0,2,2,code easier to read
detailed_ways_to_use_a_brick,high_steering,3788,45.5,5.5,2,2,as a reference or second
detailed_ways_to_use_a_brick,high_steering,6298,45.5,0.5,2,2,"set clear, assign them, identify the"
detailed_ways_to_use_a_brick,high_steering,14424,45.0,4.0,2,2,certain featuresNAME statementsgenes potentially
detailed_ways_to_use_a_brick,high_steering,41644,45.0,7.0,2,2,"that introduced, which is, can refer"
detailed_ways_to_use_a_brick,high_steering,27547,44.5,4.5,2,2,texto em suas buscas
detailed_ways_to_use_a_brick,high_steering,48239,44.5,1.5,2,2,"JavaScript, VB.NET, HTML, CSS"
detailed_ways_to_use_a_brick,high_steering,11424,43.5,2.5,2,2,"packet sent, compression of, sensor behavior"
detailed_ways_to_use_a_brick,high_steering,61654,43.0,1.0,2,2,use and employment
detailed_ways_to_use_a_brick,high_steering,59992,42.5,2.5,2,2,starts clauses or lists
detailed_ways_to_use_a_brick,high_steering,52758,42.0,6.0,2,2,provide a complete federal case
detailed_ways_to_use_a_brick,high_steering,58625,41.5,5.5,2,2,holding or storing items
detailed_ways_to_use_a_brick,high_steering,32453,41.5,2.5,2,2,actions after 'to'
detailed_ways_to_use_a_brick,high_steering,56349,40.5,1.5,2,2,sale generating
detailed_ways_to_use_a_brick,high_steering,7788,40.5,5.5,2,2,purpose and usage
detailed_ways_to_use_a_brick,high_steering,32912,40.0,4.0,2,2,Indian cities and names
detailed_ways_to_use_a_brick,high_steering,7622,39.5,4.5,2,2,is determined
detailed_ways_to_use_a_brick,high_steering,64023,39.5,1.5,2,2,has two
detailed_ways_to_use_a_brick,high_steering,52698,39.0,3.0,2,2,biological and descriptive concepts
detailed_ways_to_use_a_brick,high_steering,1656,39.0,3.0,2,2,length
detailed_ways_to_use_a_brick,high_steering,62427,38.5,3.5,2,2,numbers and codes
detailed_ways_to_use_a_brick,high_steering,34834,38.0,3.0,2,2,for purpose or target
detailed_ways_to_use_a_brick,high_steering,38885,38.0,1.0,2,2,objects and weapons
detailed_ways_to_use_a_brick,high_steering,54479,37.5,2.5,2,2,protection and blocking
detailed_ways_to_use_a_brick,high_steering,30705,37.0,0.0,2,2,discussion of drawbacks and considerations
detailed_ways_to_use_a_brick,high_steering,27313,36.5,0.5,2,2,object size and shape descriptors
detailed_ways_to_use_a_brick,high_steering,17837,36.0,2.0,2,2,"activities, decisions, sales"
detailed_ways_to_use_a_brick,high_steering,46241,35.5,4.5,2,2,"EVCS, IT, armrests, doors"
detailed_ways_to_use_a_brick,high_steering,56711,35.5,8.5,2,2,by walls or fences
detailed_ways_to_use_a_brick,high_steering,23886,35.5,5.5,2,2,create a
detailed_ways_to_use_a_brick,high_steering,54600,35.5,2.5,2,2,aesthetically pleasing and good-looking
detailed_ways_to_use_a_brick,high_steering,4544,35.0,4.0,2,2,adjustable legs for storage
detailed_ways_to_use_a_brick,high_steering,29954,34.0,3.0,2,2,digging dirt and holes
detailed_ways_to_use_a_brick,high_steering,25483,33.5,2.5,2,2,purposes like landscaping or storage
detailed_ways_to_use_a_brick,high_steering,44930,32.5,1.5,2,2,listing examples or purposes
detailed_ways_to_use_a_brick,high_steering,3337,32.0,1.0,2,2,using heavy weights or TRX
detailed_ways_to_use_a_brick,high_steering,61095,31.5,8.5,2,2,ceramic objects
detailed_ways_to_use_a_brick,high_steering,47668,31.5,4.5,2,2,"creating, developing, or causing"
detailed_ways_to_use_a_brick,high_steering,3252,31.5,6.5,2,2,"Greek, apples, questions about quantity"
detailed_ways_to_use_a_brick,high_steering,43076,31.0,4.0,2,2,metric utilization and computation
detailed_ways_to_use_a_brick,high_steering,37972,31.0,2.0,2,2,small sticks and wood
detailed_ways_to_use_a_brick,high_steering,63681,31.0,5.0,2,2,states and progress
detailed_ways_to_use_a_brick,high_steering,57393,31.0,7.0,2,2,and then
detailed_ways_to_use_a_brick,high_steering,38283,31.0,1.0,2,2,books and reading
detailed_ways_to_use_a_brick,high_steering,60041,31.0,3.0,2,2,"surreal, curious, gentle descriptions"
detailed_ways_to_use_a_brick,high_steering,47299,30.5,0.5,2,2,"goal of, score of, wants, refers to, better to, rather than"
detailed_ways_to_use_a_brick,high_steering,11167,30.5,2.5,2,2,falling or slipping out
detailed_ways_to_use_a_brick,high_steering,31297,30.0,5.0,2,2,floor and office
detailed_ways_to_use_a_brick,high_steering,43266,30.0,1.0,2,2,library organizing
detailed_ways_to_use_a_brick,high_steering,31484,30.0,4.0,2,2,to contain
detailed_ways_to_use_a_brick,high_steering,11847,29.5,3.5,2,2,repurposing old items
detailed_ways_to_use_a_brick,high_steering,946,29.5,2.5,2,2,border or outline
detailed_ways_to_use_a_brick,high_steering,11912,29.5,2.5,2,2,punctuation followed by introductory phrases
detailed_ways_to_use_a_brick,high_steering,32306,29.5,6.5,2,2,feet flat
detailed_ways_to_use_a_brick,high_steering,38481,29.5,2.5,2,2,"metal art, improved insulation, sentence structure, plates, up/down, substance abuse"
detailed_ways_to_use_a_brick,high_steering,44154,29.0,2.0,2,2,to use
detailed_ways_to_use_a_brick,high_steering,42803,29.0,4.0,2,2,"developed quickly, programming languages, far away"
detailed_ways_to_use_a_brick,high_steering,1922,29.0,4.0,2,2,installations like device or other
detailed_ways_to_use_a_brick,high_steering,46687,29.0,8.0,2,2,sauce and cheese
detailed_ways_to_use_a_brick,high_steering,18108,28.5,2.5,2,2,"Taipei locations, robot arm"
detailed_ways_to_use_a_brick,high_steering,5520,28.5,0.5,2,2,"setting values, size, or shifts"
detailed_ways_to_use_a_brick,high_steering,39582,28.5,6.5,2,2,midfield position
detailed_ways_to_use_a_brick,high_steering,63396,28.5,0.5,2,2,"discovers she, system that"
detailed_ways_to_use_a_brick,high_steering,57159,28.0,0.0,2,2,make decisions or
detailed_ways_to_use_a_brick,high_steering,14464,28.0,3.0,2,2,vinyl or PVC softening
detailed_ways_to_use_a_brick,high_steering,7089,27.5,2.5,2,2,act as or help
detailed_ways_to_use_a_brick,high_steering,46604,27.5,2.5,2,2,page/pages
detailed_ways_to_use_a_brick,high_steering,53024,27.5,1.5,2,2,"past with possessive, need, novel, problem"
detailed_ways_to_use_a_brick,high_steering,53363,27.5,3.5,2,2,Conscious Leadership development domains
detailed_ways_to_use_a_brick,high_steering,12986,27.5,0.5,2,2,"active ingredients, prototypes, e-commerce, neural networks, energy conservation"
detailed_ways_to_use_a_brick,high_steering,10595,27.0,1.0,2,2,a glass bottle or massive object
detailed_ways_to_use_a_brick,high_steering,52498,27.0,0.0,2,2,rich and heavy description
detailed_ways_to_use_a_brick,high_steering,53451,27.0,0.0,2,2,determiner followed by noun/adjective
detailed_ways_to_use_a_brick,high_steering,53031,27.0,4.0,2,2,ãĥ³ãĥī followed by ãģĮ
detailed_ways_to_use_a_brick,high_steering,51563,27.0,1.0,2,2,bromo compounds
detailed_ways_to_use_a_brick,high_steering,49058,26.5,1.5,2,2,mathematical operations and measurements
detailed_ways_to_use_a_brick,high_steering,3317,26.5,2.5,2,2,choice for businesses
detailed_ways_to_use_a_brick,high_steering,23061,26.0,8.0,2,2,hardware and fasteners
detailed_ways_to_use_a_brick,high_steering,29398,26.0,1.0,2,2,instructional steps
detailed_ways_to_use_a_brick,high_steering,54241,26.0,1.0,2,2,common phrase continuations
detailed_ways_to_use_a_brick,high_steering,53500,26.0,2.0,2,2,dry fuel for fire
detailed_ways_to_use_a_brick,high_steering,44897,25.5,1.5,2,2,table with cup or books
detailed_ways_to_use_a_brick,high_steering,16640,25.5,5.5,2,2,estampas de carros
detailed_ways_to_use_a_brick,high_steering,2815,25.5,0.5,2,2,"used conceptually, like in examples"
detailed_ways_to_use_a_brick,high_steering,1608,25.0,2.0,2,2,distinct names or outcomes
detailed_ways_to_use_a_brick,high_steering,16987,25.0,4.0,2,2,their role
detailed_ways_to_use_a_brick,high_steering,23961,25.0,2.0,2,2,natural elements preceded by articles
detailed_ways_to_use_a_brick,high_steering,5427,25.0,4.0,2,2,"source, key, tried, via, cold, chance, with, about"
detailed_ways_to_use_a_brick,high_steering,26462,25.0,2.0,2,2,from_port = 80
detailed_ways_to_use_a_brick,high_steering,4047,25.0,6.0,2,2,pursuing currently
detailed_ways_to_use_a_brick,high_steering,51868,25.0,1.0,2,2,pinecone
detailed_ways_to_use_a_brick,high_steering,990,25.0,8.0,2,2,dirt roads and paths
detailed_ways_to_use_a_brick,high_steering,11402,24.5,1.5,2,2,numbered or bulleted lists
detailed_ways_to_use_a_brick,high_steering,37898,24.5,2.5,2,2,made up of small parts
detailed_ways_to_use_a_brick,high_steering,31914,24.5,4.5,2,2,acts as
detailed_ways_to_use_a_brick,high_steering,20420,24.5,4.5,2,2,"start your, just random, difficult to"
detailed_ways_to_use_a_brick,high_steering,53174,24.5,2.5,2,2,A4 paper size definition
detailed_ways_to_use_a_brick,high_steering,43698,24.0,1.0,2,2,plant in and space apart
detailed_ways_to_use_a_brick,high_steering,60904,24.0,0.0,2,2,"sealing, waterproofing, roof restoration"
detailed_ways_to_use_a_brick,high_steering,61605,24.0,1.0,2,2,"local gardening club, the garden's inhabitants"
detailed_ways_to_use_a_brick,high_steering,27715,24.0,0.0,2,2,on the table
detailed_ways_to_use_a_brick,high_steering,11944,24.0,4.0,2,2,"blog about, mug with, role of"
detailed_ways_to_use_a_brick,high_steering,37109,24.0,2.0,2,2,building settlements and cities
detailed_ways_to_use_a_brick,high_steering,57527,24.0,1.0,2,2,its intuitive
detailed_ways_to_use_a_brick,high_steering,28221,23.5,2.5,2,2,door handle
detailed_ways_to_use_a_brick,high_steering,59854,23.5,0.5,2,2,verb followed by preposition or determiner
detailed_ways_to_use_a_brick,high_steering,4978,23.5,3.5,2,2,loose or damaged parts
detailed_ways_to_use_a_brick,high_steering,60627,23.5,1.5,2,2,"to specialized, to gain, and its"
detailed_ways_to_use_a_brick,high_steering,19804,23.5,1.5,2,2,cupboard doors contain
detailed_ways_to_use_a_brick,high_steering,24266,23.5,1.5,2,2,cold front to form
detailed_ways_to_use_a_brick,high_steering,49306,23.5,2.5,2,2,arranged or connected
detailed_ways_to_use_a_brick,high_steering,34428,23.5,3.5,2,2,"energy, routes, manager, humidity, sunshine"
detailed_ways_to_use_a_brick,high_steering,64102,23.5,1.5,2,2,`.` or `il resto`
detailed_ways_to_use_a_brick,high_steering,57487,23.5,2.5,2,2,"Pillars of Hercules, Stahlgerüstturm"
detailed_ways_to_use_a_brick,high_steering,41275,23.0,3.0,2,2,objects and instruments
detailed_ways_to_use_a_brick,high_steering,19841,23.0,1.0,2,2,garage doors specific tools
detailed_ways_to_use_a_brick,high_steering,22891,23.0,2.0,2,2,end of sentence or list item
detailed_ways_to_use_a_brick,high_steering,44653,23.0,1.0,2,2,"disrupt the, for its, is thrown"
detailed_ways_to_use_a_brick,high_steering,5121,23.0,1.0,2,2,"or opinions, for organizations, other types"
detailed_ways_to_use_a_brick,high_steering,60646,23.0,4.0,2,2,arranged in a pattern
detailed_ways_to_use_a_brick,high_steering,55326,23.0,2.0,2,2,"Bitcoin Mining, ongoing conflict"
detailed_ways_to_use_a_brick,high_steering,2128,23.0,4.0,2,2,"automotive, äººç±»é¥², select, VR, deep learning, capital, market"
detailed_ways_to_use_a_brick,high_steering,22366,23.0,1.0,2,2,involve fewer
detailed_ways_to_use_a_brick,high_steering,39467,23.0,5.0,2,2,product analyst
detailed_ways_to_use_a_brick,high_steering,36184,22.5,2.5,2,2,new words and concepts
detailed_ways_to_use_a_brick,high_steering,8066,22.5,5.5,2,2,correctly and completely
detailed_ways_to_use_a_brick,high_steering,20060,22.5,5.5,2,2,cutting metal sheets and pipes
detailed_ways_to_use_a_brick,high_steering,37544,22.5,1.5,2,2,turkish characters and phrases
detailed_ways_to_use_a_brick,high_steering,19583,22.5,2.5,2,2,block or filter out
detailed_ways_to_use_a_brick,high_steering,52474,22.5,3.5,2,2,"Russian, Hindi, Spanish, programming terms"
detailed_ways_to_use_a_brick,high_steering,15075,22.0,2.0,2,2,small or tiny objects
detailed_ways_to_use_a_brick,high_steering,54683,22.0,2.0,2,2,punctuation or preposition follows
detailed_ways_to_use_a_brick,high_steering,62808,22.0,2.0,2,2,making changes or buying
detailed_ways_to_use_a_brick,high_steering,54694,22.0,2.0,2,2,comparing weights of items
detailed_ways_to_use_a_brick,high_steering,25795,22.0,2.0,2,2,Top 10 lists
detailed_ways_to_use_a_brick,high_steering,25360,21.5,0.5,2,2,preceded by punctuation or labels
detailed_ways_to_use_a_brick,high_steering,39182,21.5,0.5,2,2,objects and surfaces
detailed_ways_to_use_a_brick,high_steering,17082,21.5,5.5,2,2,"electricity, components, tutorials, respiration, pile"
detailed_ways_to_use_a_brick,high_steering,17102,21.5,0.5,2,2,mass murder
detailed_ways_to_use_a_brick,high_steering,15702,21.5,0.5,2,2,combine or combination
detailed_ways_to_use_a_brick,high_steering,3907,21.5,1.5,2,2,lustful and sexual terms
detailed_ways_to_use_a_brick,high_steering,130,21.0,1.0,2,2,ordering or recommending actions
detailed_ways_to_use_a_brick,high_steering,23510,21.0,1.0,2,2,orientation and upside down
detailed_ways_to_use_a_brick,high_steering,61060,21.0,2.0,2,2,receptor and academy
detailed_ways_to_use_a_brick,high_steering,4147,21.0,8.0,2,2,by the wind
detailed_ways_to_use_a_brick,high_steering,62374,21.0,0.0,2,2,starting and end points
detailed_ways_to_use_a_brick,high_steering,53772,21.0,0.0,2,2,by followed by method
detailed_ways_to_use_a_brick,high_steering,37770,21.0,2.0,2,2,device or equipment type
detailed_ways_to_use_a_brick,high_steering,37322,20.5,2.5,2,2,"lists, actions, and descriptions"
detailed_ways_to_use_a_brick,high_steering,12284,20.5,0.5,2,2,surrounded by spaces or sides
detailed_ways_to_use_a_brick,high_steering,18816,20.5,3.5,2,2,building construction materials
detailed_ways_to_use_a_brick,high_steering,34645,20.5,1.5,2,2,"element analysis, Asset class"
detailed_ways_to_use_a_brick,high_steering,52269,20.5,0.5,2,2,description of actual image
detailed_ways_to_use_a_brick,high_steering,5167,20.5,4.5,2,2,search bar
improve_the_stapler_with_many_specific_enhancements,high_steering,40325,79.0,0.0,2,2,pens
improve_the_stapler_with_many_specific_enhancements,high_steering,15715,73.0,0.0,2,2,but followed by descriptions of state or action
improve_the_stapler_with_many_specific_enhancements,high_steering,27847,71.0,0.0,2,2,mechanics and springs
improve_the_stapler_with_many_specific_enhancements,high_steering,36804,70.0,0.0,2,2,ergonomic handle or grip
improve_the_stapler_with_many_specific_enhancements,high_steering,56212,69.0,0.0,2,2,lighting range ergonomic features
improve_the_stapler_with_many_specific_enhancements,high_steering,4544,67.0,0.0,2,2,adjustable legs for storage
improve_the_stapler_with_many_specific_enhancements,high_steering,23061,67.0,0.0,2,2,hardware and fasteners
improve_the_stapler_with_many_specific_enhancements,high_steering,54443,65.0,0.0,2,2,"separate chambers, adjustable legs, mechanism"
improve_the_stapler_with_many_specific_enhancements,high_steering,35034,64.0,0.0,2,2,best deals and different models
improve_the_stapler_with_many_specific_enhancements,high_steering,25058,62.0,0.0,2,2,"researching Amazon, deploying AWS"
improve_the_stapler_with_many_specific_enhancements,high_steering,42868,62.0,0.0,2,2,printers and ducks
improve_the_stapler_with_many_specific_enhancements,high_steering,7295,60.0,0.0,2,2,Milwaukee tool cutting
improve_the_stapler_with_many_specific_enhancements,high_steering,54652,59.0,0.0,2,2,cutting
improve_the_stapler_with_many_specific_enhancements,high_steering,30370,56.0,0.0,2,2,State Street services
improve_the_stapler_with_many_specific_enhancements,high_steering,43018,55.0,0.0,2,2,"powder coating systems, belt drive, treadmill"
improve_the_stapler_with_many_specific_enhancements,high_steering,62839,52.0,0.0,2,2,once upon a time
improve_the_stapler_with_many_specific_enhancements,high_steering,37407,52.0,0.0,2,2,easy to use and remove
improve_the_stapler_with_many_specific_enhancements,high_steering,32086,51.0,0.0,2,2,housing contains clear blue exterior
improve_the_stapler_with_many_specific_enhancements,high_steering,6542,51.0,0.0,2,2,"quality, durability, easy"
improve_the_stapler_with_many_specific_enhancements,high_steering,51884,48.0,0.0,2,2,from virtual to detect providing support
improve_the_stapler_with_many_specific_enhancements,high_steering,11674,45.0,0.0,2,2,"space shuttle, wind turbine, arcade game"
improve_the_stapler_with_many_specific_enhancements,high_steering,42148,42.0,0.0,2,2,create engaging or build a
improve_the_stapler_with_many_specific_enhancements,high_steering,1424,42.0,0.0,2,2,list item start indicators
improve_the_stapler_with_many_specific_enhancements,high_steering,20086,41.0,0.0,2,2,printers and ducks
improve_the_stapler_with_many_specific_enhancements,high_steering,27679,39.0,0.0,2,2,a mug with features
improve_the_stapler_with_many_specific_enhancements,high_steering,28383,39.0,0.0,2,2,operated or equipped
improve_the_stapler_with_many_specific_enhancements,high_steering,22541,39.0,0.0,2,2,a type of
improve_the_stapler_with_many_specific_enhancements,high_steering,36184,38.0,0.0,2,2,new words and concepts
improve_the_stapler_with_many_specific_enhancements,high_steering,34070,37.0,0.0,2,2,"locations, rates, training, earn"
improve_the_stapler_with_many_specific_enhancements,high_steering,23653,36.0,0.0,2,2,strive for greatness; established in
improve_the_stapler_with_many_specific_enhancements,high_steering,62430,36.0,0.0,2,2,being drained or used
improve_the_stapler_with_many_specific_enhancements,high_steering,14530,34.0,0.0,2,2,to cut
improve_the_stapler_with_many_specific_enhancements,high_steering,53174,34.0,0.0,2,2,A4 paper size definition
improve_the_stapler_with_many_specific_enhancements,high_steering,65048,34.0,0.0,2,2,make sure to ONLY
improve_the_stapler_with_many_specific_enhancements,high_steering,40647,33.0,0.0,2,2,self-cleaning soy milk machine
improve_the_stapler_with_many_specific_enhancements,high_steering,34645,32.0,0.0,2,2,"element analysis, Asset class"
improve_the_stapler_with_many_specific_enhancements,high_steering,47208,32.0,0.0,2,2,adding information
improve_the_stapler_with_many_specific_enhancements,high_steering,8928,31.0,0.0,2,2,adventures and survival scenarios
improve_the_stapler_with_many_specific_enhancements,high_steering,11597,31.0,0.0,2,2,"can rotate, change, allow"
improve_the_stapler_with_many_specific_enhancements,high_steering,49596,31.0,0.0,2,2,introductory words/punctuation
improve_the_stapler_with_many_specific_enhancements,high_steering,16583,31.0,0.0,2,2,"learning and improvement, fabrics"
improve_the_stapler_with_many_specific_enhancements,high_steering,30448,30.0,0.0,2,2,insertion and removal actions
improve_the_stapler_with_many_specific_enhancements,high_steering,62372,30.0,0.0,2,2,increase or add
improve_the_stapler_with_many_specific_enhancements,high_steering,2063,30.0,0.0,2,2,verbs following common pronouns/prepositions
improve_the_stapler_with_many_specific_enhancements,high_steering,23773,30.0,0.0,2,2,apply pressure or adjustments
improve_the_stapler_with_many_specific_enhancements,high_steering,22071,30.0,0.0,2,2,office chairs and support
improve_the_stapler_with_many_specific_enhancements,high_steering,40244,29.0,0.0,2,2,Personalized Relationship Management Software
improve_the_stapler_with_many_specific_enhancements,high_steering,65365,29.0,0.0,2,2,prominent financial based program
improve_the_stapler_with_many_specific_enhancements,high_steering,25360,29.0,0.0,2,2,preceded by punctuation or labels
improve_the_stapler_with_many_specific_enhancements,high_steering,26355,29.0,0.0,2,2,strengths and weaknesses
improve_the_stapler_with_many_specific_enhancements,high_steering,56092,29.0,0.0,2,2,"detect potential, using Python, meet customer"
improve_the_stapler_with_many_specific_enhancements,high_steering,20402,28.0,0.0,2,2,"supplies power, data, or emotions"
improve_the_stapler_with_many_specific_enhancements,high_steering,20607,28.0,0.0,2,2,74cm max height
improve_the_stapler_with_many_specific_enhancements,high_steering,64102,28.0,0.0,2,2,`.` or `il resto`
improve_the_stapler_with_many_specific_enhancements,high_steering,31322,28.0,0.0,2,2,"elections, context, patch"
improve_the_stapler_with_many_specific_enhancements,high_steering,10917,28.0,0.0,2,2,determiner + concept nouns
improve_the_stapler_with_many_specific_enhancements,high_steering,63388,28.0,0.0,2,2,sp Head
improve_the_stapler_with_many_specific_enhancements,high_steering,56054,27.0,0.0,2,2,introductions to specific contexts
improve_the_stapler_with_many_specific_enhancements,high_steering,56668,27.0,0.0,2,2,"popular activity, improve student"
improve_the_stapler_with_many_specific_enhancements,high_steering,49421,27.0,0.0,2,2,list separators and conjunctions
improve_the_stapler_with_many_specific_enhancements,high_steering,15266,27.0,0.0,2,2,items and attributes
improve_the_stapler_with_many_specific_enhancements,high_steering,14892,27.0,0.0,2,2,hammer and context
improve_the_stapler_with_many_specific_enhancements,high_steering,1608,27.0,0.0,2,2,distinct names or outcomes
improve_the_stapler_with_many_specific_enhancements,high_steering,20451,27.0,0.0,2,2,vanes or blades
improve_the_stapler_with_many_specific_enhancements,high_steering,11791,26.0,0.0,2,2,providing premium
improve_the_stapler_with_many_specific_enhancements,high_steering,2294,26.0,0.0,2,2,make life easier
improve_the_stapler_with_many_specific_enhancements,high_steering,12342,26.0,0.0,2,2,"requires some, captain may, navigate using"
improve_the_stapler_with_many_specific_enhancements,high_steering,62906,25.0,0.0,2,2,creates GUI
improve_the_stapler_with_many_specific_enhancements,high_steering,62711,25.0,0.0,2,2,a mug with feature
improve_the_stapler_with_many_specific_enhancements,high_steering,58959,24.0,0.0,2,2,"search, metadata, topics"
improve_the_stapler_with_many_specific_enhancements,high_steering,52906,24.0,0.0,2,2,razors
improve_the_stapler_with_many_specific_enhancements,high_steering,13648,23.0,0.0,2,2,mouse on flat surface
improve_the_stapler_with_many_specific_enhancements,high_steering,27955,23.0,0.0,2,2,developing a platform or system
improve_the_stapler_with_many_specific_enhancements,high_steering,37544,23.0,0.0,2,2,turkish characters and phrases
improve_the_stapler_with_many_specific_enhancements,high_steering,24370,23.0,0.0,2,2,"writing durations, Reading comfort, keeps drinks"
improve_the_stapler_with_many_specific_enhancements,high_steering,63396,23.0,0.0,2,2,"discovers she, system that"
improve_the_stapler_with_many_specific_enhancements,high_steering,37099,23.0,0.0,2,2,and a / integrated / remote
improve_the_stapler_with_many_specific_enhancements,high_steering,40184,23.0,0.0,2,2,firearms and ammunition
improve_the_stapler_with_many_specific_enhancements,high_steering,61060,23.0,0.0,2,2,receptor and academy
improve_the_stapler_with_many_specific_enhancements,high_steering,64503,22.0,0.0,2,2,quality illustration
improve_the_stapler_with_many_specific_enhancements,high_steering,11924,21.0,0.0,2,2,special white mug
improve_the_stapler_with_many_specific_enhancements,high_steering,12962,21.0,0.0,2,2,features options or adding requirements
improve_the_stapler_with_many_specific_enhancements,high_steering,41859,21.0,0.0,2,2,"extra, greater, faster, more"
improve_the_stapler_with_many_specific_enhancements,high_steering,28717,21.0,0.0,2,2,free or without
improve_the_stapler_with_many_specific_enhancements,high_steering,14112,21.0,0.0,2,2,"green alternatives, advanced technologies"
improve_the_stapler_with_many_specific_enhancements,high_steering,20455,21.0,0.0,2,2,conditional or alternative phrasing
improve_the_stapler_with_many_specific_enhancements,high_steering,51085,21.0,0.0,2,2,topics such as an introduction
improve_the_stapler_with_many_specific_enhancements,high_steering,2141,20.0,0.0,2,2,lists connected by and
improve_the_stapler_with_many_specific_enhancements,high_steering,48073,20.0,0.0,2,2,following verbs for actions
improve_the_stapler_with_many_specific_enhancements,high_steering,63044,20.0,0.0,2,2,dirt and things to clean
improve_the_stapler_with_many_specific_enhancements,high_steering,63458,20.0,0.0,2,2,"durability, lasting, withstand"
improve_the_stapler_with_many_specific_enhancements,high_steering,54683,20.0,0.0,2,2,punctuation or preposition follows
improve_the_stapler_with_many_specific_enhancements,high_steering,25498,20.0,0.0,2,2,safety feature that
improve_the_stapler_with_many_specific_enhancements,high_steering,52582,20.0,0.0,2,2,durable materials
