condition,reward,response_index,old_top10_count,new_top10_count,label_overlap_count,label_overlap_fraction_of_old,label_overlap
baseline,20,11,0,10,0,,
baseline,20,12,0,10,0,,
baseline,20,13,0,10,0,,
baseline,20,14,0,10,0,,
baseline,20,15,0,10,0,,
baseline,20,16,0,10,0,,
baseline,20,17,0,10,0,,
baseline,20,18,0,10,0,,
baseline,20,19,0,10,0,,
baseline,20,20,0,10,0,,
baseline,20,21,0,10,0,,
baseline,20,22,0,10,0,,
baseline,20,23,0,10,0,,
baseline,20,24,0,10,0,,
baseline,20,25,0,10,0,,
baseline,20,26,0,10,0,,
baseline,20,27,0,10,0,,
baseline,20,28,0,10,0,,
baseline,20,29,0,10,0,,
baseline,20,30,0,10,0,,
baseline,20,31,0,10,0,,
baseline,20,32,0,10,0,,
baseline,20,33,0,10,0,,
baseline,20,34,0,10,0,,
baseline,20,35,0,10,0,,
baseline,20,36,0,10,0,,
baseline,20,37,0,10,0,,
baseline,20,38,0,10,0,,
baseline,20,39,0,10,0,,
baseline,20,40,0,10,0,,
baseline,25,1,0,10,0,,
baseline,25,2,0,10,0,,
baseline,25,3,0,10,0,,
baseline,25,4,0,10,0,,
baseline,25,5,0,10,0,,
baseline,25,6,0,10,0,,
baseline,25,7,0,10,0,,
baseline,25,8,0,10,0,,
baseline,25,9,0,10,0,,
baseline,25,10,0,10,0,,
baseline,25,11,0,10,0,,
baseline,25,12,0,10,0,,
baseline,25,13,0,10,0,,
baseline,25,14,0,10,0,,
baseline,25,15,0,10,0,,
baseline,25,16,0,10,0,,
baseline,25,17,0,10,0,,
baseline,25,18,0,10,0,,
baseline,25,19,0,10,0,,
baseline,25,20,0,10,0,,
baseline,25,21,0,10,0,,
baseline,25,22,0,10,0,,
baseline,25,23,0,10,0,,
baseline,25,24,0,10,0,,
baseline,25,25,0,10,0,,
baseline,25,26,0,10,0,,
baseline,25,27,0,10,0,,
baseline,25,28,0,10,0,,
baseline,25,29,0,10,0,,
baseline,25,30,0,10,0,,
baseline,25,31,0,10,0,,
baseline,25,32,0,10,0,,
baseline,25,33,0,10,0,,
baseline,25,34,0,10,0,,
baseline,25,35,0,10,0,,
baseline,25,36,0,10,0,,
baseline,25,37,0,10,0,,
baseline,25,38,0,10,0,,
baseline,25,39,0,10,0,,
baseline,25,40,0,10,0,,
baseline,30,1,0,10,0,,
baseline,30,2,0,10,0,,
baseline,30,3,0,10,0,,
baseline,30,4,0,10,0,,
baseline,30,5,0,10,0,,
baseline,30,6,0,10,0,,
baseline,30,7,0,10,0,,
baseline,30,8,0,10,0,,
baseline,30,9,0,10,0,,
baseline,30,10,0,10,0,,
baseline,30,11,0,10,0,,
baseline,30,12,0,10,0,,
baseline,30,13,0,10,0,,
baseline,30,14,0,10,0,,
baseline,30,15,0,10,0,,
baseline,30,16,0,10,0,,
baseline,30,17,0,10,0,,
baseline,30,18,0,10,0,,
baseline,30,19,0,10,0,,
baseline,30,20,0,10,0,,
baseline,30,21,0,10,0,,
baseline,30,22,0,10,0,,
baseline,30,23,0,10,0,,
baseline,30,24,0,10,0,,
baseline,30,25,0,10,0,,
baseline,30,26,0,10,0,,
baseline,30,27,0,10,0,,
baseline,30,28,0,10,0,,
baseline,30,29,0,10,0,,
baseline,30,30,0,10,0,,
baseline,30,31,0,10,0,,
baseline,30,32,0,10,0,,
baseline,30,33,0,10,0,,
baseline,30,34,0,10,0,,
baseline,30,35,0,10,0,,
baseline,30,36,0,10,0,,
baseline,30,37,0,10,0,,
baseline,30,38,0,10,0,,
baseline,30,39,0,10,0,,
baseline,30,40,0,10,0,,
baseline,35,1,0,10,0,,
baseline,35,2,0,10,0,,
baseline,35,3,0,10,0,,
baseline,35,4,0,10,0,,
baseline,35,5,0,10,0,,
baseline,35,6,0,10,0,,
baseline,35,7,0,10,0,,
baseline,35,8,0,10,0,,
baseline,35,9,0,10,0,,
baseline,35,10,0,10,0,,
baseline,35,11,0,10,0,,
baseline,35,12,0,10,0,,
baseline,35,13,0,10,0,,
baseline,35,14,0,10,0,,
baseline,35,15,0,10,0,,
baseline,35,16,0,10,0,,
baseline,35,17,0,10,0,,
baseline,35,18,0,10,0,,
baseline,35,19,0,10,0,,
baseline,35,20,0,10,0,,
baseline,35,21,0,10,0,,
baseline,35,22,0,10,0,,
baseline,35,23,0,10,0,,
baseline,35,24,0,10,0,,
baseline,35,25,0,10,0,,
baseline,35,26,0,10,0,,
baseline,35,27,0,10,0,,
baseline,35,28,0,10,0,,
baseline,35,29,0,10,0,,
baseline,35,30,0,10,0,,
baseline,35,31,0,10,0,,
baseline,35,32,0,10,0,,
baseline,35,33,0,10,0,,
baseline,35,34,0,10,0,,
baseline,35,35,0,10,0,,
baseline,35,36,0,10,0,,
baseline,35,37,0,10,0,,
baseline,35,38,0,10,0,,
baseline,35,39,0,10,0,,
baseline,35,40,0,10,0,,
baseline,40,1,0,10,0,,
baseline,40,2,0,10,0,,
baseline,40,3,0,10,0,,
baseline,40,4,0,10,0,,
baseline,40,5,0,10,0,,
baseline,40,6,0,10,0,,
baseline,40,7,0,10,0,,
baseline,40,8,0,10,0,,
baseline,40,9,0,10,0,,
baseline,40,10,0,10,0,,
baseline,40,11,0,10,0,,
baseline,40,12,0,10,0,,
baseline,40,13,0,10,0,,
baseline,40,14,0,10,0,,
baseline,40,15,0,10,0,,
baseline,40,16,0,10,0,,
baseline,40,17,0,10,0,,
baseline,40,18,0,10,0,,
baseline,40,19,0,10,0,,
baseline,40,20,0,10,0,,
baseline,40,21,0,10,0,,
baseline,40,22,0,10,0,,
baseline,40,23,0,10,0,,
baseline,40,24,0,10,0,,
baseline,40,25,0,10,0,,
baseline,40,26,0,10,0,,
baseline,40,27,0,10,0,,
baseline,40,28,0,10,0,,
baseline,40,29,0,10,0,,
baseline,40,30,0,10,0,,
baseline,40,31,0,10,0,,
baseline,40,32,0,10,0,,
baseline,40,33,0,10,0,,
baseline,40,34,0,10,0,,
baseline,40,35,0,10,0,,
baseline,40,36,0,10,0,,
baseline,40,37,0,10,0,,
baseline,40,38,0,10,0,,
baseline,40,39,0,10,0,,
baseline,40,40,0,10,0,,
baseline,45,1,0,10,0,,
baseline,45,2,0,10,0,,
baseline,45,3,0,10,0,,
baseline,45,4,0,10,0,,
baseline,45,5,0,10,0,,
baseline,45,6,0,10,0,,
baseline,45,7,0,10,0,,
baseline,45,8,0,10,0,,
baseline,45,9,0,10,0,,
baseline,45,10,0,10,0,,
baseline,45,11,0,10,0,,
baseline,45,12,0,10,0,,
baseline,45,13,0,10,0,,
baseline,45,14,0,10,0,,
baseline,45,15,0,10,0,,
baseline,45,16,0,10,0,,
baseline,45,17,0,10,0,,
baseline,45,18,0,10,0,,
baseline,45,19,0,10,0,,
baseline,45,20,0,10,0,,
baseline,45,21,0,10,0,,
baseline,45,22,0,10,0,,
baseline,45,23,0,10,0,,
baseline,45,24,0,10,0,,
baseline,45,25,0,10,0,,
baseline,45,26,0,10,0,,
baseline,45,27,0,10,0,,
baseline,45,28,0,10,0,,
baseline,45,29,0,10,0,,
baseline,45,30,0,10,0,,
baseline,45,31,0,10,0,,
baseline,45,32,0,10,0,,
baseline,45,33,0,10,0,,
baseline,45,34,0,10,0,,
baseline,45,35,0,10,0,,
baseline,45,36,0,10,0,,
baseline,45,37,0,10,0,,
baseline,45,38,0,10,0,,
baseline,45,39,0,10,0,,
baseline,45,40,0,10,0,,
baseline,50,1,0,10,0,,
baseline,50,2,0,10,0,,
baseline,50,3,0,10,0,,
baseline,50,4,0,10,0,,
baseline,50,5,0,10,0,,
baseline,50,6,0,10,0,,
baseline,50,7,0,10,0,,
baseline,50,8,0,10,0,,
baseline,50,9,0,10,0,,
baseline,50,10,0,10,0,,
baseline,50,11,0,10,0,,
baseline,50,12,0,10,0,,
baseline,50,13,0,10,0,,
baseline,50,14,0,10,0,,
baseline,50,15,0,10,0,,
baseline,50,16,0,10,0,,
baseline,50,17,0,10,0,,
baseline,50,18,0,10,0,,
baseline,50,19,0,10,0,,
baseline,50,20,0,10,0,,
baseline,50,21,0,10,0,,
baseline,50,22,0,10,0,,
baseline,50,23,0,10,0,,
baseline,50,24,0,10,0,,
baseline,50,25,0,10,0,,
baseline,50,26,0,10,0,,
baseline,50,27,0,10,0,,
baseline,50,28,0,10,0,,
baseline,50,29,0,10,0,,
baseline,50,30,0,10,0,,
baseline,50,31,0,10,0,,
baseline,50,32,0,10,0,,
baseline,50,33,0,10,0,,
baseline,50,34,0,10,0,,
baseline,50,35,0,10,0,,
baseline,50,36,0,10,0,,
baseline,50,37,0,10,0,,
baseline,50,38,0,10,0,,
baseline,50,39,0,10,0,,
baseline,50,40,0,10,0,,
baseline,55,1,0,10,0,,
baseline,55,2,0,10,0,,
baseline,55,3,0,10,0,,
baseline,55,4,0,10,0,,
baseline,55,5,0,10,0,,
baseline,55,6,0,10,0,,
baseline,55,7,0,10,0,,
baseline,55,8,0,10,0,,
baseline,55,9,0,10,0,,
baseline,55,10,0,10,0,,
baseline,55,11,0,10,0,,
baseline,55,12,0,10,0,,
baseline,55,13,0,10,0,,
baseline,55,14,0,10,0,,
baseline,55,15,0,10,0,,
baseline,55,16,0,10,0,,
baseline,55,17,0,10,0,,
baseline,55,18,0,10,0,,
baseline,55,19,0,10,0,,
baseline,55,20,0,10,0,,
baseline,55,21,0,10,0,,
baseline,55,22,0,10,0,,
baseline,55,23,0,10,0,,
baseline,55,24,0,10,0,,
baseline,55,25,0,10,0,,
baseline,55,26,0,10,0,,
baseline,55,27,0,10,0,,
baseline,55,28,0,10,0,,
baseline,55,29,0,10,0,,
baseline,55,30,0,10,0,,
baseline,55,31,0,10,0,,
baseline,55,32,0,10,0,,
baseline,55,33,0,10,0,,
baseline,55,34,0,10,0,,
baseline,55,35,0,10,0,,
baseline,55,36,0,10,0,,
baseline,55,37,0,10,0,,
baseline,55,38,0,10,0,,
baseline,55,39,0,10,0,,
baseline,55,40,0,10,0,,
baseline,60,1,0,10,0,,
baseline,60,2,0,10,0,,
baseline,60,3,0,10,0,,
baseline,60,4,0,10,0,,
baseline,60,5,0,10,0,,
baseline,60,6,0,10,0,,
baseline,60,7,0,10,0,,
baseline,60,8,0,10,0,,
baseline,60,9,0,10,0,,
baseline,60,10,0,10,0,,
baseline,60,11,0,10,0,,
baseline,60,12,0,10,0,,
baseline,60,13,0,10,0,,
baseline,60,14,0,10,0,,
baseline,60,15,0,10,0,,
baseline,60,16,0,10,0,,
baseline,60,17,0,10,0,,
baseline,60,18,0,10,0,,
baseline,60,19,0,10,0,,
baseline,60,20,0,10,0,,
baseline,60,21,0,10,0,,
baseline,60,22,0,10,0,,
baseline,60,23,0,10,0,,
baseline,60,24,0,10,0,,
baseline,60,25,0,10,0,,
baseline,60,26,0,10,0,,
baseline,60,27,0,10,0,,
baseline,60,28,0,10,0,,
baseline,60,29,0,10,0,,
baseline,60,30,0,10,0,,
baseline,60,31,0,10,0,,
baseline,60,32,0,10,0,,
baseline,60,33,0,10,0,,
baseline,60,34,0,10,0,,
baseline,60,35,0,10,0,,
baseline,60,36,0,10,0,,
baseline,60,37,0,10,0,,
baseline,60,38,0,10,0,,
baseline,60,39,0,10,0,,
baseline,60,40,0,10,0,,
baseline,65,1,0,10,0,,
baseline,65,2,0,10,0,,
baseline,65,3,0,10,0,,
baseline,65,4,0,10,0,,
baseline,65,5,0,10,0,,
baseline,65,6,0,10,0,,
baseline,65,7,0,10,0,,
baseline,65,8,0,10,0,,
baseline,65,9,0,10,0,,
baseline,65,10,0,10,0,,
baseline,65,11,0,10,0,,
baseline,65,12,0,10,0,,
baseline,65,13,0,10,0,,
baseline,65,14,0,10,0,,
baseline,65,15,0,10,0,,
baseline,65,16,0,10,0,,
baseline,65,17,0,10,0,,
baseline,65,18,0,10,0,,
baseline,65,19,0,10,0,,
baseline,65,20,0,10,0,,
baseline,65,21,0,10,0,,
baseline,65,22,0,10,0,,
baseline,65,23,0,10,0,,
baseline,65,24,0,10,0,,
baseline,65,25,0,10,0,,
baseline,65,26,0,10,0,,
baseline,65,27,0,10,0,,
baseline,65,28,0,10,0,,
baseline,65,29,0,10,0,,
baseline,65,30,0,10,0,,
baseline,65,31,0,10,0,,
baseline,65,32,0,10,0,,
baseline,65,33,0,10,0,,
baseline,65,34,0,10,0,,
baseline,65,35,0,10,0,,
baseline,65,36,0,10,0,,
baseline,65,37,0,10,0,,
baseline,65,38,0,10,0,,
baseline,65,39,0,10,0,,
baseline,65,40,0,10,0,,
baseline,70,1,0,10,0,,
baseline,70,2,0,10,0,,
baseline,70,3,0,10,0,,
baseline,70,4,0,10,0,,
baseline,70,5,0,10,0,,
baseline,70,6,0,10,0,,
baseline,70,7,0,10,0,,
baseline,70,8,0,10,0,,
baseline,70,9,0,10,0,,
baseline,70,10,0,10,0,,
baseline,70,11,0,10,0,,
baseline,70,12,0,10,0,,
baseline,70,13,0,10,0,,
baseline,70,14,0,10,0,,
baseline,70,15,0,10,0,,
baseline,70,16,0,10,0,,
baseline,70,17,0,10,0,,
baseline,70,18,0,10,0,,
baseline,70,19,0,10,0,,
baseline,70,20,0,10,0,,
baseline,70,21,0,10,0,,
baseline,70,22,0,10,0,,
baseline,70,23,0,10,0,,
baseline,70,24,0,10,0,,
baseline,70,25,0,10,0,,
baseline,70,26,0,10,0,,
baseline,70,27,0,10,0,,
baseline,70,28,0,10,0,,
baseline,70,29,0,10,0,,
baseline,70,30,0,10,0,,
baseline,70,31,0,10,0,,
baseline,70,32,0,10,0,,
baseline,70,33,0,10,0,,
baseline,70,34,0,10,0,,
baseline,70,35,0,10,0,,
baseline,70,36,0,10,0,,
baseline,70,37,0,10,0,,
baseline,70,38,0,10,0,,
baseline,70,39,0,10,0,,
baseline,70,40,0,10,0,,
baseline,75,1,0,10,0,,
baseline,75,2,0,10,0,,
baseline,75,3,0,10,0,,
baseline,75,4,0,10,0,,
baseline,75,5,0,10,0,,
baseline,75,6,0,10,0,,
baseline,75,7,0,10,0,,
baseline,75,8,0,10,0,,
baseline,75,9,0,10,0,,
baseline,75,10,0,10,0,,
baseline,75,11,0,10,0,,
baseline,75,12,0,10,0,,
baseline,75,13,0,10,0,,
baseline,75,14,0,10,0,,
baseline,75,15,0,10,0,,
baseline,75,16,0,10,0,,
baseline,75,17,0,10,0,,
baseline,75,18,0,10,0,,
baseline,75,19,0,10,0,,
baseline,75,20,0,10,0,,
baseline,75,21,0,10,0,,
baseline,75,22,0,10,0,,
baseline,75,23,0,10,0,,
baseline,75,24,0,10,0,,
baseline,75,25,0,10,0,,
baseline,75,26,0,10,0,,
baseline,75,27,0,10,0,,
baseline,75,28,0,10,0,,
baseline,75,29,0,10,0,,
baseline,75,30,0,10,0,,
baseline,75,31,0,10,0,,
baseline,75,32,0,10,0,,
baseline,75,33,0,10,0,,
baseline,75,34,0,10,0,,
baseline,75,35,0,10,0,,
baseline,75,36,0,10,0,,
baseline,75,37,0,10,0,,
baseline,75,38,0,10,0,,
baseline,75,39,0,10,0,,
baseline,75,40,0,10,0,,
baseline,80,1,0,10,0,,
baseline,80,2,0,10,0,,
baseline,80,3,0,10,0,,
baseline,80,4,0,10,0,,
baseline,80,5,0,10,0,,
baseline,80,6,0,10,0,,
baseline,80,7,0,10,0,,
baseline,80,8,0,10,0,,
baseline,80,9,0,10,0,,
baseline,80,10,0,10,0,,
baseline,80,11,0,10,0,,
baseline,80,12,0,10,0,,
baseline,80,13,0,10,0,,
baseline,80,14,0,10,0,,
baseline,80,15,0,10,0,,
baseline,80,16,0,10,0,,
baseline,80,17,0,10,0,,
baseline,80,18,0,10,0,,
baseline,80,19,0,10,0,,
baseline,80,20,0,10,0,,
baseline,80,21,0,10,0,,
baseline,80,22,0,10,0,,
baseline,80,23,0,10,0,,
baseline,80,24,0,10,0,,
baseline,80,25,0,10,0,,
baseline,80,26,0,10,0,,
baseline,80,27,0,10,0,,
baseline,80,28,0,10,0,,
baseline,80,29,0,10,0,,
baseline,80,30,0,10,0,,
baseline,80,31,0,10,0,,
baseline,80,32,0,10,0,,
baseline,80,33,0,10,0,,
baseline,80,34,0,10,0,,
baseline,80,35,0,10,0,,
baseline,80,36,0,10,0,,
baseline,80,37,0,10,0,,
baseline,80,38,0,10,0,,
baseline,80,39,0,10,0,,
baseline,80,40,0,10,0,,
baseline,85,1,0,10,0,,
baseline,85,2,0,10,0,,
baseline,85,3,0,10,0,,
baseline,85,4,0,10,0,,
baseline,85,5,0,10,0,,
baseline,85,6,0,10,0,,
baseline,85,7,0,10,0,,
baseline,85,8,0,10,0,,
baseline,85,9,0,10,0,,
baseline,85,10,0,10,0,,
baseline,85,11,0,10,0,,
baseline,85,12,0,10,0,,
baseline,85,13,0,10,0,,
baseline,85,14,0,10,0,,
baseline,85,15,0,10,0,,
baseline,85,16,0,10,0,,
baseline,85,17,0,10,0,,
baseline,85,18,0,10,0,,
baseline,85,19,0,10,0,,
baseline,85,20,0,10,0,,
baseline,85,21,0,10,0,,
baseline,85,22,0,10,0,,
baseline,85,23,0,10,0,,
baseline,85,24,0,10,0,,
baseline,85,25,0,10,0,,
baseline,85,26,0,10,0,,
baseline,85,27,0,10,0,,
baseline,85,28,0,10,0,,
baseline,85,29,0,10,0,,
baseline,85,30,0,10,0,,
baseline,85,31,0,10,0,,
baseline,85,32,0,10,0,,
baseline,85,33,0,10,0,,
baseline,85,34,0,10,0,,
baseline,85,35,0,10,0,,
baseline,85,36,0,10,0,,
baseline,85,37,0,10,0,,
baseline,85,38,0,10,0,,
baseline,85,39,0,10,0,,
baseline,85,40,0,10,0,,
baseline,90,1,0,10,0,,
baseline,90,2,0,10,0,,
baseline,90,3,0,10,0,,
baseline,90,4,0,10,0,,
baseline,90,5,0,10,0,,
baseline,90,6,0,10,0,,
baseline,90,7,0,10,0,,
baseline,90,8,0,10,0,,
baseline,90,9,0,10,0,,
baseline,90,10,0,10,0,,
baseline,90,11,0,10,0,,
baseline,90,12,0,10,0,,
baseline,90,13,0,10,0,,
baseline,90,14,0,10,0,,
baseline,90,15,0,10,0,,
baseline,90,16,0,10,0,,
baseline,90,17,0,10,0,,
baseline,90,18,0,10,0,,
baseline,90,19,0,10,0,,
baseline,90,20,0,10,0,,
baseline,90,21,0,10,0,,
baseline,90,22,0,10,0,,
baseline,90,23,0,10,0,,
baseline,90,24,0,10,0,,
baseline,90,25,0,10,0,,
baseline,90,26,0,10,0,,
baseline,90,27,0,10,0,,
baseline,90,28,0,10,0,,
baseline,90,29,0,10,0,,
baseline,90,30,0,10,0,,
baseline,90,31,0,10,0,,
baseline,90,32,0,10,0,,
baseline,90,33,0,10,0,,
baseline,90,34,0,10,0,,
baseline,90,35,0,10,0,,
baseline,90,36,0,10,0,,
baseline,90,37,0,10,0,,
baseline,90,38,0,10,0,,
baseline,90,39,0,10,0,,
baseline,90,40,0,10,0,,
prompting,,1,16,0,0,0.0,
prompting,,2,14,0,0,0.0,
prompting,,3,15,0,0,0.0,
prompting,,4,15,0,0,0.0,
prompting,,5,15,0,0,0.0,
prompting,,6,16,0,0,0.0,
prompting,,7,16,0,0,0.0,
prompting,,8,16,0,0,0.0,
prompting,,9,15,0,0,0.0,
prompting,,10,15,0,0,0.0,
prompting,,11,16,0,0,0.0,
prompting,,12,16,0,0,0.0,
prompting,,13,17,0,0,0.0,
prompting,,14,17,0,0,0.0,
prompting,,15,17,0,0,0.0,
prompting,,16,17,0,0,0.0,
prompting,,17,16,0,0,0.0,
prompting,,18,19,0,0,0.0,
prompting,,19,16,0,0,0.0,
prompting,,20,16,0,0,0.0,
prompting,,21,17,0,0,0.0,
prompting,,22,16,0,0,0.0,
prompting,,23,16,0,0,0.0,
prompting,,24,15,0,0,0.0,
prompting,,25,18,0,0,0.0,
prompting,,26,16,0,0,0.0,
prompting,,27,17,0,0,0.0,
prompting,,28,18,0,0,0.0,
prompting,,29,17,0,0,0.0,
prompting,,30,17,0,0,0.0,
prompting,,31,16,0,0,0.0,
prompting,,32,18,0,0,0.0,
prompting,,33,16,0,0,0.0,
prompting,,34,15,0,0,0.0,
prompting,,35,15,0,0,0.0,
prompting,,36,17,0,0,0.0,
prompting,,37,15,0,0,0.0,
prompting,,38,16,0,0,0.0,
prompting,,39,17,0,0,0.0,
prompting,,40,16,0,0,0.0,
prompting,10,1,0,10,0,,
prompting,10,2,0,10,0,,
prompting,10,3,0,10,0,,
prompting,10,4,0,10,0,,
prompting,10,5,0,10,0,,
prompting,10,6,0,10,0,,
prompting,10,7,0,10,0,,
prompting,10,8,0,10,0,,
prompting,10,9,0,9,0,,
prompting,10,10,0,10,0,,
prompting,10,11,0,10,0,,
prompting,10,12,0,10,0,,
prompting,10,13,0,10,0,,
prompting,10,14,0,10,0,,
prompting,10,15,0,10,0,,
prompting,10,16,0,10,0,,
prompting,10,17,0,10,0,,
prompting,10,18,0,10,0,,
prompting,10,19,0,10,0,,
prompting,10,20,0,10,0,,
prompting,10,21,0,10,0,,
prompting,10,22,0,10,0,,
prompting,10,23,0,10,0,,
prompting,10,24,0,10,0,,
prompting,10,25,0,10,0,,
prompting,10,26,0,10,0,,
prompting,10,27,0,10,0,,
prompting,10,28,0,10,0,,
prompting,10,29,0,10,0,,
prompting,10,30,0,10,0,,
prompting,10,31,0,10,0,,
prompting,10,32,0,10,0,,
prompting,10,33,0,10,0,,
prompting,10,34,0,10,0,,
prompting,10,35,0,10,0,,
prompting,10,36,0,10,0,,
prompting,10,37,0,10,0,,
prompting,10,38,0,10,0,,
prompting,10,39,0,10,0,,
prompting,10,40,0,10,0,,
prompting,15,1,0,10,0,,
prompting,15,2,0,10,0,,
prompting,15,3,0,10,0,,
prompting,15,4,0,10,0,,
prompting,15,5,0,10,0,,
prompting,15,6,0,10,0,,
prompting,15,7,0,10,0,,
prompting,15,8,0,10,0,,
prompting,15,9,0,10,0,,
prompting,15,10,0,10,0,,
prompting,15,11,0,10,0,,
prompting,15,12,0,10,0,,
prompting,15,13,0,10,0,,
prompting,15,14,0,10,0,,
prompting,15,15,0,10,0,,
prompting,15,16,0,10,0,,
prompting,15,17,0,10,0,,
prompting,15,18,0,10,0,,
prompting,15,19,0,10,0,,
prompting,15,20,0,10,0,,
prompting,15,21,0,10,0,,
prompting,15,22,0,10,0,,
prompting,15,23,0,10,0,,
prompting,15,24,0,10,0,,
prompting,15,25,0,10,0,,
prompting,15,26,0,10,0,,
prompting,15,27,0,10,0,,
prompting,15,28,0,10,0,,
prompting,15,29,0,10,0,,
prompting,15,30,0,10,0,,
prompting,15,31,0,10,0,,
prompting,15,32,0,10,0,,
prompting,15,33,0,10,0,,
prompting,15,34,0,10,0,,
prompting,15,35,0,10,0,,
prompting,15,36,0,10,0,,
prompting,15,37,0,10,0,,
prompting,15,38,0,10,0,,
prompting,15,39,0,10,0,,
prompting,15,40,0,10,0,,
prompting,20,1,0,10,0,,
prompting,20,2,0,10,0,,
prompting,20,3,0,10,0,,
prompting,20,4,0,10,0,,
prompting,20,5,0,10,0,,
prompting,20,6,0,10,0,,
prompting,20,7,0,10,0,,
prompting,20,8,0,10,0,,
prompting,20,9,0,10,0,,
prompting,20,10,0,10,0,,
prompting,20,11,0,10,0,,
prompting,20,12,0,10,0,,
prompting,20,13,0,10,0,,
prompting,20,14,0,10,0,,
prompting,20,15,0,10,0,,
prompting,20,16,0,10,0,,
prompting,20,17,0,10,0,,
prompting,20,18,0,10,0,,
